cdk_entity_id,cdk_entity_name,cdk_path,cdk_load_column,cdk_datatype,cdk_length,cdk_unit,cdk_confidence,sap_field_raw,sap_table,sap_field,sap_annotation,sap_module,sap_data_element,sap_datatype,sap_length,sap_decimals,sap_is_key,status,type_verdict,type_detail,resolution_detail,widened_length,widening_reason
dealer-rooftop-partition,Dealer Rooftop Partition,header.subscriptionId,subscription_id,string,64,,DOCUMENTED,T000-MANDT,T000,MANDT,,CROSS,MANDT,CLNT,3,0,True,RESOLVED,WIDENED,"CDK length 64 > SAP CLNT(3) — declared widening to 64, recorded in WIDENING-POLICY.md: SAP T000-MANDT is a 3-character client (Mandant) code; the CDK subscriptionId is a much longer DMS subscription/tenant identifier. T000 is the correct semantic anchor for 'which tenant does this belong to' even though CDK's own tenant key format is far wider than SAP's classic 3-digit client.",resolved against ../eve-datasphere-sovereign-fresh/schema/sap-modules/cross/tables/T000.yaml,64,SAP T000-MANDT is a 3-character client (Mandant) code; the CDK subscriptionId is a much longer DMS subscription/tenant identifier. T000 is the correct semantic anchor for 'which tenant does this belong to' even though CDK's own tenant key format is far wider than SAP's classic 3-digit client.
dealer-rooftop-partition,Dealer Rooftop Partition,header.departmentId,department_id,string,32,,DOCUMENTED,CSKS-KOSTL,CSKS,KOSTL,,CO,KOSTL,CHAR,10,0,True,RESOLVED,WIDENED,"CDK length 32 > SAP CHAR(10) — declared widening to 32, recorded in WIDENING-POLICY.md: SAP CSKS-KOSTL is CHAR(10); the CDK/dealer-native value for this field can genuinely run up to 32 characters. Per docs/model/WIDENING-POLICY.md, the spine keeps SAP semantics (this field IS the SAP analogue conceptually) but emits the source-native width (32) in DDL rather than truncating real dealer data to fit a legacy SAP field length.",resolved against ../eve-datasphere-sovereign-fresh/schema/sap-modules/co/tables/CSKS.yaml,32,"SAP CSKS-KOSTL is CHAR(10); the CDK/dealer-native value for this field can genuinely run up to 32 characters. Per docs/model/WIDENING-POLICY.md, the spine keeps SAP semantics (this field IS the SAP analogue conceptually) but emits the source-native width (32) in DDL rather than truncating real dealer data to fit a legacy SAP field length."
dealer-rooftop-partition,Dealer Rooftop Partition,companyNumber,company_number,string,10,,UNVERIFIED,T001-BUKRS,T001,BUKRS,,CROSS,BUKRS,CHAR,4,0,True,RESOLVED,WIDENED,"CDK length 10 > SAP CHAR(4) — declared widening to 10, recorded in WIDENING-POLICY.md: SAP T001-BUKRS is a 4-character company code; the CDK companyNumber can run to 10 characters in the dealer's own numbering. Keeps T001 as the semantic anchor, source-native width in DDL.",resolved against ../eve-datasphere-sovereign-fresh/schema/sap-modules/cross/tables/T001.yaml,10,"SAP T001-BUKRS is a 4-character company code; the CDK companyNumber can run to 10 characters in the dealer's own numbering. Keeps T001 as the semantic anchor, source-native width in DDL."
dealer-rooftop-partition,Dealer Rooftop Partition,cmfClientNumber,cmf_client_number,string,10,,UNVERIFIED,T000-MANDT,T000,MANDT,,CROSS,MANDT,CLNT,3,0,True,RESOLVED,WIDENED,"CDK length 10 > SAP CLNT(3) — declared widening to 10, recorded in WIDENING-POLICY.md: Same tenant/client concept as header.subscriptionId -- SAP T000-MANDT is CHAR(3), CDK's CMF client number is up to 10 characters.",resolved against ../eve-datasphere-sovereign-fresh/schema/sap-modules/cross/tables/T000.yaml,10,"Same tenant/client concept as header.subscriptionId -- SAP T000-MANDT is CHAR(3), CDK's CMF client number is up to 10 characters."
dealer-rooftop-partition,Dealer Rooftop Partition,dmsType,dms_type,enum,20,,DOCUMENTED,NO_SAP_ANALOGUE,,,,,,,,,,NO_SAP_ANALOGUE,N_A,,sap_field value 'NO_SAP_ANALOGUE' does not parse as TABLE-FIELD; treated as a dealer/DMS concept without a crisp SAP handle.,,
dealer-rooftop-partition,Dealer Rooftop Partition,rooftopName,rooftop_name,string,120,,INFERRED,NO_SAP_ANALOGUE,,,,,,,,,,NO_SAP_ANALOGUE,N_A,,sap_field value 'NO_SAP_ANALOGUE' does not parse as TABLE-FIELD; treated as a dealer/DMS concept without a crisp SAP handle.,,
dealer-rooftop-partition,Dealer Rooftop Partition,rooftopAddress,rooftop_address,string,255,,INFERRED,ADRC-STREET,ADRC,STREET,,CROSS,,,,,,TABLE_INVENTORIED_NOT_DEFINED,N_A,,ADRC is named in TABLES.yaml (CROSS) but has no field-level tables/<TABLE>.yaml yet.,,
cost-centre-department,Cost Centre / Department,departmentCode,department_code,string,2,,DOCUMENTED,CSKS-KOSTL,CSKS,KOSTL,,CO,KOSTL,CHAR,10,0,True,RESOLVED,OK,,resolved against ../eve-datasphere-sovereign-fresh/schema/sap-modules/co/tables/CSKS.yaml,,
cost-centre-department,Cost Centre / Department,departmentId,department_id,string,32,,DOCUMENTED,CSKS-KOSTL,CSKS,KOSTL,,CO,KOSTL,CHAR,10,0,True,RESOLVED,WIDENED,"CDK length 32 > SAP CHAR(10) — declared widening to 32, recorded in WIDENING-POLICY.md: SAP CSKS-KOSTL is CHAR(10); the CDK/dealer-native value for this field can genuinely run up to 32 characters. Per docs/model/WIDENING-POLICY.md, the spine keeps SAP semantics (this field IS the SAP analogue conceptually) but emits the source-native width (32) in DDL rather than truncating real dealer data to fit a legacy SAP field length.",resolved against ../eve-datasphere-sovereign-fresh/schema/sap-modules/co/tables/CSKS.yaml,32,"SAP CSKS-KOSTL is CHAR(10); the CDK/dealer-native value for this field can genuinely run up to 32 characters. Per docs/model/WIDENING-POLICY.md, the spine keeps SAP semantics (this field IS the SAP analogue conceptually) but emits the source-native width (32) in DDL rather than truncating real dealer data to fit a legacy SAP field length."
cost-centre-department,Cost Centre / Department,dmsType,dms_type,enum,,,DOCUMENTED,NO_SAP_ANALOGUE,,,,,,,,,,NO_SAP_ANALOGUE,N_A,,sap_field value 'NO_SAP_ANALOGUE' does not parse as TABLE-FIELD; treated as a dealer/DMS concept without a crisp SAP handle.,,
